id,s_lo,s_hi,s_mid,midpoint_ritz,rayleigh_lower,rayleigh_upper,target_11_5_verified,down_scaled_upper
183,0.91,0.915,0.9125,13.3028509088049,13.2870466128163,13.3186552047888,0,-2.19801770306241
184,0.915,0.92,0.9175,13.3313930727262,13.3155329319495,13.3472532135111,0,-2.26840103235225
185,0.92,0.925,0.9225,13.3601348759496,13.3439643837189,13.376305368178,0,-2.34078555519976
186,0.925,0.93,0.9275,13.3896225490499,13.3728400756345,13.4064050224647,0,-2.4135319623225
187,0.93,0.935,0.9325,13.42049195355,13.402757357406,13.4382265496933,0,-2.48476932066941
188,0.935,0.94,0.9375,13.4534464942467,13.4343959073435,13.4724970811497,0,-2.55247523586077
189,0.94,0.945,0.9425,13.489221959491,13.468489308683,13.5099546102996,0,-2.61459474984578
190,0.945,0.95,0.9475,13.5285374892069,13.5057827749866,13.551292203431,0,-2.66919871178783
191,0.95,0.955,0.9525,13.5720328332037,13.546976760288,13.5970889061215,0,-2.71467994864806
192,0.955,0.96,0.9575,13.6201923907874,13.5926570991708,13.6477276824033,0,-2.74998627933377
193,0.96,0.965,0.9625,13.6732549004107,13.6432121763271,13.7032976244892,0,-2.77489822020384
194,0.965,0.97,0.9675,13.7311014122063,13.6987347746317,13.7634680497895,0,-2.78878669738489
195,0.97,0.975,0.9725,13.7930970155376,13.7588973964864,13.827296634593,0,-2.7902333161747
196,0.975,0.98,0.9775,13.8578155780281,13.8227672742361,13.8928638818238,0,-2.78994125078563
197,0.98,0.985,0.9825,13.9224389464252,13.8884702658062,13.9564076270505,0,-2.79918889201669
198,0.985,0.99,0.9875,13.9811295958663,13.9524646590977,14.0097945326363,0,-2.84233278956155
199,0.99,0.995,0.9925,14.0193775161331,14.0078842684297,14.0308707638301,0,-2.98568202168432
200,0.995,1,0.9975,13.9847001763169,13.920045455594,14.0493548970392,0,-3.14032178342401
